lambda	RQE	A_r	A_fr	sigma_r	sigma_fr
300	0	0.4	0.39	2233	920
302	0	0.33	0.33	1838	784
304	0	0.3	0.29	1656	706
306	0	0.27	0.28	1499	668
308	0	0.25	0.27	1412	645
310	0	0.23	0.25	1294	610
312	0	0.22	0.25	1221	599
314	0	0.2	0.23	1127	569
316	0.01	0.18	0.22	1029	534
318	0.01	0.17	0.21	953	505
320	0.01	0.16	0.19	893	468
322	0.01	0.15	0.18	834	432
324	0.01	0.14	0.16	767	393
326	0.02	0.13	0.15	747	369
328	0.03	0.13	0.14	726	340
330	0.04	0.13	0.13	713	319
332	0.05	0.13	0.13	713	308
334	0.07	0.13	0.12	725	285
336	0.08	0.13	0.12	751	281
338	0.09	0.14	0.11	780	266
340	0.1	0.14	0.11	811	259
342	0.11	0.15	0.11	841	257
344	0.12	0.16	0.11	879	255
346	0.13	0.17	0.11	952	252
348	0.14	0.18	0.12	989	257
350	0.16	0.19	0.12	1048	261
352	0.18	0.2	0.12	1124	271
354	0.2	0.21	0.13	1190	274
356	0.22	0.22	0.13	1263	282
358	0.25	0.24	0.13	1326	291
360	0.27	0.25	0.14	1389	301
362	0.3	0.26	0.14	1436	312
364	0.33	0.26	0.15	1468	326
366	0.35	0.26	0.15	1484	335
368	0.38	0.27	0.16	1517	349
370	0.4	0.27	0.17	1529	365
372	0.42	0.27	0.17	1540	381
374	0.44	0.28	0.18	1545	397
376	0.46	0.28	0.18	1577	411
378	0.48	0.28	0.19	1577	426
380	0.5	0.28	0.2	1586	442
382	0.52	0.28	0.2	1572	451
384	0.54	0.28	0.2	1557	464
386	0.55	0.27	0.21	1505	485
388	0.57	0.26	0.21	1464	496
390	0.59	0.25	0.22	1381	511
392	0.6	0.23	0.22	1294	524
394	0.62	0.22	0.22	1215	534
396	0.63	0.2	0.22	1097	540
398	0.65	0.18	0.23	1004	553
400	0.66	0.16	0.23	904	559
402	0.67	0.14	0.23	810	563
404	0.68	0.13	0.23	733	568
406	0.69	0.12	0.23	668	571
408	0.7	0.11	0.22	604	573
410	0.71	0.1	0.22	561	570
412	0.72	0.09	0.22	519	564
414	0.73	0.08	0.22	471	557
416	0.74	0.08	0.21	427	543
418	0.74	0.07	0.2	408	528
420	0.75	0.07	0.2	366	507
422	0.75	0.06	0.19	348	489
424	0.76	0.06	0.17	320	454
426	0.76	0.05	0.17	308	431
428	0.76	0.05	0.16	292	401
430	0.76	0.05	0.15	274	377
432	0.76	0.05	0.14	263	353
434	0.76	0.04	0.13	244	325
436	0.75	0.04	0.12	244	300
